,Oblique_strategies
0,Is it finished?
1,Define an area as `safe' and use it as an anchor
2,Give way to your worst impulse
3,What is the reality of the situation?
4,"Go to an extreme, move back to a more comfortable place"
5,Not building a wall but making a brick
6,Do the washing up
7,Allow an easement (an easement is the abandonment of a stricture)
8,"Decorate, decorate"
9,"Once the search is in progress, something will be found"
10,Consult other sources -promising -unpromising
11,Emphasize repetitions
12,Be extravagant
13,A line has two sides
14,Cluster analysis
15,Abandon normal instruments
16,Retrace your steps
17,Lowest common denominator
18,"Left channel, right channel, centre channel"
19,Only one element of each kind
20,Water
21,A very small object. Its center
22,Courage!
23,Discard an axiom
24,Convert a melodic element into a rhythmic element
25,Work at a different speed
26,Get your neck massaged
27,Ghost echoes
28,Children -speaking -singing
29,Remove ambiguities and convert to specifics
30,Make a blank valuable by putting it in an exquisite frame
31,Mechanicalize something idiosyncratic
32,Consider different fading systems
33,The inconsistency principle
34,"Short circuit (If eating peas improves virility, shovel them into your pants)"
35,You are an engineer
36,What are the sections sections of? Imagine a caterpillar moving
37,The most important thing is the thing most easily forgotten
38,Use `unqualified' people
39,Give the game away
40,Go outside. Shut the door.
41,Bridges -build -burn
42,Make an exhaustive list of everything you might do and do the last thing on the list
43,Idiot glee (?)
44,Do something boring
45,It is quite possible (after all)
46,Is there something missing?
47,From nothing to more than nothing
48,Take a break
49,Do the words need changing?
50,Mute and continue
51,Don't be afraid of things because they're easy to do
52,Emphasize differences
53,Emphasize the flaws
54,Intentions -nobility of -humility of -credibility of
55,"Make a sudden, destructive unpredictable action; incorporate"
56,Don't break the silence
57,Breathe more deeply
58,Lost in useless territory
59,You don't have to be ashamed of using your own ideas
60,Reverse
61,Change instrument roles
62,Honor thy error as a hidden intention
63,Turn it upside down
64,Disciplined self-indulgence
65,Feed the recording back out of the medium
66,Into the impossible
67,State the problem in words as clearly as possible
68,Look closely at the most embarrassing details and amplify them
69,Towards the insignificant
70,Overtly resist change
71,Trust in the you of now
72,Tape your mouth
73,What are you really thinking about just now?
74,Discover the recipes you are using and abandon them
75,Simply a matter of work
76,Disconnect from desire
77,Be dirty
78,Always first steps
79,Just carry on
80,Imagine the piece as a set of disconnected events
81,Cascades
82,Do nothing for as long as possible
83,Think of the radio
84,Don't stress one thing more than another
85,What would your closest friend do?
86,Humanize something free of error
87,Be less critical more often
88,Balance the consistency principle with the inconsistency principle
89,Simple subtraction
90,Remember those quiet evenings
91,Use filters
92,Ask your body
93,Use fewer notes
94,Revaluation (a warm feeling)
95,Ask people to work against their better judgement
96,Assemble some of the elements in a group and treat the group
97,Are there sections? Consider transitions
98,Question the heroic approach
99,Would anybody want it?
100,Is the intonation correct?
101,Twist the spine
102,Spectrum analysis
103,Do we need holes?
104,Change nothing and continue with immaculate consistency
105,Don't be frightened of cliches
106,Put in earplugs
107,Repetition is a form of change
108,Fill every beat with something
109,How would you have done it?
110,"In total darkness, or in a very large room, very quietly"
111,Remove specifics and convert to ambiguities
112,What mistakes did you make last time?
113,Always give yourself credit for having more than personality
114,Infinitesimal gradations
115,Accept advice
116,What wouldn't you do?
117,Don't be frightened to display your talents
118,Use an old idea
119,Look at the order in which you do things
120,Accretion
121,Distorting time
122,Cut a vital connection
123,You can only make one dot at a time
124,"Faced with a choice, do both"
125,[blank white card]
126,Tidy up
127,Listen to the quiet voice
128,Go slowly all the way round the outside
129,The tape is now the music
130,"Only a part, not the whole"
131,Destroy -nothing -the most important thing
132,Take away the elements in order of apparent non-importance
133,(Organic) machinery
134,Use an unacceptable color
